Feature_Name,Category,Mean_Attention,Ret_Dir_Correct_Attn,Ret_Dir_Wrong_Attn,Ret_Dir_Diff_(Hero_Score),Vol_Accurate_Attn,Vol_Inaccurate_Attn,Vol_Diff_(Hero_Score),Corr_with_Abs_Return,Corr_with_Volatility,Corr_with_Direction
KDJ_K,Technical Analysis,0.012983169,0.013038193,0.012930238,0.00010795519,0.013127062,0.01283927,0.0002877917,0.28235716,0.027870312,0.31360364
Outside_Day,Pattern Recognition,0.0129354475,0.012901992,0.012967645,-6.5653585e-05,0.012621559,0.013249351,-0.0006277915,0.061375238,0.68691665,-0.038589507
Trend_Day_Count,Other/Unknown,0.012623797,0.012594163,0.012652298,-5.8135018e-05,0.012662661,0.012584933,7.772818e-05,-0.08315577,-0.10965495,-0.07037941
Price_Rank_252,Other/Unknown,0.012523133,0.012559546,0.012488096,7.145014e-05,0.012616146,0.01243011,0.00018603634,0.19347212,-0.17197265,0.2624053
Open_Norm,Pattern Recognition,0.012428869,0.012450605,0.012407976,4.2628497e-05,0.012380405,0.012477351,-9.694602e-05,0.17058405,0.48000836,0.1359185
Downside_Std_20,Other/Unknown,0.012426494,0.012471012,0.012383671,8.7341294e-05,0.012570759,0.012282229,0.00028853025,0.038672715,-0.26126242,0.085357465
ADX,Technical Analysis,0.012417218,0.012344819,0.012486855,-0.000142036,0.012426663,0.012407767,1.8896535e-05,0.24427222,0.46967465,0.17762697
Log_Ret,Basic Technical,0.012406446,0.01240205,0.012410678,-8.627772e-06,0.012112449,0.012700447,-0.00058799796,-0.5473932,-0.15843564,-0.54339427
Vol_Price_Up_Confirm,Volume Factors,0.01238677,0.012403097,0.0123710595,3.2037497e-05,0.012201183,0.012572354,-0.00037117116,-0.26027206,-0.040094737,-0.25423962
High_Volume,Volume Factors,0.012360961,0.012332221,0.012388606,-5.6385063e-05,0.012310992,0.012410926,-9.9933706e-05,0.27216193,0.3312145,0.25205272
Gap_Up_VolAdj,Other/Unknown,0.012346872,0.012363016,0.012331347,3.1668693e-05,0.012321997,0.01237175,-4.9752183e-05,-0.090856194,0.03271839,-0.06411508
MOM_Quarter,Time Features,0.012346076,0.012295387,0.0123948455,-9.945873e-05,0.012435594,0.01225657,0.00017902348,0.3154329,0.368123,0.28409013
Trend_Efficiency,Market Fractal,0.012322078,0.012325361,0.0123189185,6.4428896e-06,0.012328124,0.012316036,1.2087636e-05,-0.22247067,-0.3735214,-0.20423156
Beta_Coeff,Other/Unknown,0.012313057,0.012292832,0.012332513,-3.968086e-05,0.0121861035,0.012440013,-0.00025390927,0.07711049,0.54486907,-0.007925004
RSI_Velocity,Other/Unknown,0.012285195,0.012381519,0.0121925725,0.00018894672,0.012312274,0.0122581525,5.412195e-05,0.11304858,-0.12894654,0.17491521
RSI_Divergence,Technical Analysis,0.012273251,0.012345849,0.012203415,0.00014243368,0.012188603,0.012357892,-0.00016928837,-0.2865944,-0.2432945,-0.24959922
Inside_Day,Pattern Recognition,0.012271027,0.012299478,0.01224366,5.5817887e-05,0.01241503,0.012127026,0.00028800406,0.5225064,0.319435,0.514812
ADOSC,Technical Analysis,0.012268268,0.0123321265,0.01220685,0.00012527686,0.012447242,0.012089302,0.00035793986,0.07919006,-0.34026083,0.14551175
Gap_Up,Basic Technical,0.012266805,0.0122772595,0.012256743,2.0516105e-05,0.012451529,0.012082074,0.00036945473,0.36613068,-0.105930686,0.41123268
Open_Close_Ratio,Pattern Recognition,0.012201913,0.012140432,0.012261071,-0.00012063887,0.011997132,0.012406714,-0.00040958263,-0.53213507,-0.19579351,-0.5484351
RS_vs_SSE,Macro Finance,0.012166127,0.012173494,0.012159042,1.4452264e-05,0.012360276,0.011971978,0.00038829818,0.66808003,0.54067147,0.6233773
2Day_Downtrend,Pattern Recognition,0.012141835,0.012108087,0.012174276,-6.6189095e-05,0.012127042,0.012156602,-2.9560179e-05,0.023713887,-0.07438755,0.03424614
Vol_Rel_Short,Other/Unknown,0.012134961,0.012107549,0.012161344,-5.3795055e-05,0.012081925,0.012188014,-0.00010608882,0.4108454,0.7871715,0.3256049
VVIX_Proxy,Market Sentiment,0.01212571,0.012106086,0.012144597,-3.851112e-05,0.012092044,0.012159386,-6.734207e-05,0.124090366,0.38382217,0.047744192
US10Y_Stress,Macro Finance,0.01210837,0.012154304,0.012064179,9.012502e-05,0.012060923,0.012155812,-9.488966e-05,-0.19577609,-0.26680702,-0.15567389
Price_to_MA200_Ratio,Other/Unknown,0.012094639,0.012072542,0.012115896,-4.3353997e-05,0.012074482,0.0121148,-4.0317886e-05,0.21700469,0.095100194,0.21466812
Price_Z_Score_60,Statistical Features,0.01207479,0.012075837,0.012073761,2.075918e-06,0.012075059,0.0120744975,5.615875e-07,-0.6082688,-0.66264474,-0.5561642
Vol_Bias_20,Volume Factors,0.012071255,0.012067398,0.012074971,-7.572584e-06,0.012107191,0.01203533,7.186085e-05,0.27822265,0.42321002,0.23153844
